"","category","gene"
"shared.nog.si312","shared.nog.si","TM4SF4"
"shared.nog.si313","shared.nog.si","TM4SF5"
"shared.nog.si314","shared.nog.si","TM6SF2"
"shared.nog.si315","shared.nog.si","TMEM150B"
"shared.nog.si316","shared.nog.si","TMEM184A"
"shared.nog.si317","shared.nog.si","TMEM253"
"shared.nog.si318","shared.nog.si","TMEM37"
"shared.nog.si319","shared.nog.si","TMEM41A"
"shared.nog.si320","shared.nog.si","TMEM82"
"shared.nog.si321","shared.nog.si","TMEM86B"
"shared.nog.si322","shared.nog.si","TNFRSF14"
"shared.nog.si323","shared.nog.si","TNFRSF1A"
"shared.nog.si324","shared.nog.si","TNRC6C-AS1"
"shared.nog.si325","shared.nog.si","TOM1"
"shared.nog.si326","shared.nog.si","TREH"
"shared.nog.si327","shared.nog.si","TRIM15"
"shared.nog.si328","shared.nog.si","TRIM50"
"shared.nog.si329","shared.nog.si","TTC31"
"shared.nog.si330","shared.nog.si","TTC38"
"shared.nog.si331","shared.nog.si","UGT2B7"
"shared.nog.si332","shared.nog.si","UGT3A1"
"shared.nog.si333","shared.nog.si","USH1C"
"shared.nog.si334","shared.nog.si","WBP2"
"shared.nog.si335","shared.nog.si","WNT3"
"shared.nog.si336","shared.nog.si","XAF1"
"shared.nog.si337","shared.nog.si","XDH"
"shared.nog.si338","shared.nog.si","XPNPEP2"
"shared.nog.si339","shared.nog.si","ZMYND15"
"shared.nog.si340","shared.nog.si","ZNF300"
"shared.nog.si341","shared.nog.si","ZSWIM8"
"shared.egf.si1","shared.egf.si","AADAC"
"shared.egf.si2","shared.egf.si","ABCA4"
"shared.egf.si3","shared.egf.si","ABCB8"
"shared.egf.si4","shared.egf.si","ABCC10"
"shared.egf.si5","shared.egf.si","ABCC6"
"shared.egf.si6","shared.egf.si","ABCD1"
"shared.egf.si7","shared.egf.si","ABCG5"
"shared.egf.si8","shared.egf.si","ABCG8"
"shared.egf.si9","shared.egf.si","ABHD14A,ABHD14A-ACY1,ACY1"
"shared.egf.si10","shared.egf.si","ABHD16A"
"shared.egf.si11","shared.egf.si","ABHD4"
"shared.egf.si12","shared.egf.si","ABHD6"
"shared.egf.si13","shared.egf.si","ACACB"
"shared.egf.si14","shared.egf.si","ACADS"
"shared.egf.si15","shared.egf.si","ACADVL"
"shared.egf.si16","shared.egf.si","ACKR4"
"shared.egf.si17","shared.egf.si","ACO2"
"shared.egf.si18","shared.egf.si","ACOT11"
"shared.egf.si19","shared.egf.si","ACOT7"
"shared.egf.si20","shared.egf.si","ACOX2"
"shared.egf.si21","shared.egf.si","ACP2"
"shared.egf.si22","shared.egf.si","ACSL5"
"shared.egf.si23","shared.egf.si","ACTN4"
"shared.egf.si24","shared.egf.si","ACY3"
"shared.egf.si25","shared.egf.si","ADAMTSL5"
"shared.egf.si26","shared.egf.si","ADGRG4"
"shared.egf.si27","shared.egf.si","ADGRG5"
"shared.egf.si28","shared.egf.si","AGMO"
"shared.egf.si29","shared.egf.si","AGPAT1,MIR6721"
"shared.egf.si30","shared.egf.si","AGPAT2"
"shared.egf.si31","shared.egf.si","AGPAT3"
"shared.egf.si32","shared.egf.si","AK2"
"shared.egf.si33","shared.egf.si","AKR1A1"
"shared.egf.si34","shared.egf.si","AKR1B10"
"shared.egf.si35","shared.egf.si","AKR1C1"
"shared.egf.si36","shared.egf.si","AKR1C3"
"shared.egf.si37","shared.egf.si","AKR1C4"
"shared.egf.si38","shared.egf.si","AKR7A3"
"shared.egf.si39","shared.egf.si","ALDH1A3"
"shared.egf.si40","shared.egf.si","ALDH2"
"shared.egf.si41","shared.egf.si","ALDOB"
"shared.egf.si42","shared.egf.si","ALPI"
"shared.egf.si43","shared.egf.si","AMBRA1"
"shared.egf.si44","shared.egf.si","ANAPC2"
"shared.egf.si45","shared.egf.si","ANGPTL4"
"shared.egf.si46","shared.egf.si","ANPEP"
"shared.egf.si47","shared.egf.si","ANXA13"
"shared.egf.si48","shared.egf.si","ANXA4"
"shared.egf.si49","shared.egf.si","AP5B1"
"shared.egf.si50","shared.egf.si","APOA1"
"shared.egf.si51","shared.egf.si","APOA1-AS"
"shared.egf.si52","shared.egf.si","APOA4"
"shared.egf.si53","shared.egf.si","APOBEC1"
"shared.egf.si54","shared.egf.si","APOBEC2"
"shared.egf.si55","shared.egf.si","APOC2,APOC4,APOC4-APOC2"
"shared.egf.si56","shared.egf.si","APOC3"
"shared.egf.si57","shared.egf.si","APOL2"
"shared.egf.si58","shared.egf.si","APOM"
"shared.egf.si59","shared.egf.si","AQP3"
"shared.egf.si60","shared.egf.si","AQP7"
"shared.egf.si61","shared.egf.si","ARHGEF16"
"shared.egf.si62","shared.egf.si","ASAH2"
"shared.egf.si63","shared.egf.si","ASB13"
"shared.egf.si64","shared.egf.si","ASIC2"
"shared.egf.si65","shared.egf.si","ASPA"
"shared.egf.si66","shared.egf.si","ATG4D"
"shared.egf.si67","shared.egf.si","ATP11A"
"shared.egf.si68","shared.egf.si","ATP5SL"
"shared.egf.si69","shared.egf.si","ATXN2L"
"shared.egf.si70","shared.egf.si","AZGP1"
"shared.egf.si71","shared.egf.si","B3GNT8"
"shared.egf.si72","shared.egf.si","BAG6"
"shared.egf.si73","shared.egf.si","BAIAP2L2"
"shared.egf.si74","shared.egf.si","BAIAP3"
"shared.egf.si75","shared.egf.si","BAK1"
"shared.egf.si76","shared.egf.si","BET1L"
"shared.egf.si77","shared.egf.si","BLNK"
"shared.egf.si78","shared.egf.si","BRE-AS1,RBKS"
"shared.egf.si79","shared.egf.si","BTD"
"shared.egf.si80","shared.egf.si","BTNL3"
"shared.egf.si81","shared.egf.si","BTNL8"
"shared.egf.si82","shared.egf.si","BUD13"
"shared.egf.si83","shared.egf.si","C10orf54"
"shared.egf.si84","shared.egf.si","C11orf24"
"shared.egf.si85","shared.egf.si","C11orf86"
"shared.egf.si86","shared.egf.si","C15orf62"
"shared.egf.si87","shared.egf.si","C16orf58"
"shared.egf.si88","shared.egf.si","C17orf78"
"shared.egf.si89","shared.egf.si","C18orf8"
"shared.egf.si90","shared.egf.si","C19orf12"
"shared.egf.si91","shared.egf.si","C19orf54"
"shared.egf.si92","shared.egf.si","C1orf116"
"shared.egf.si93","shared.egf.si","C2CD2L"
"shared.egf.si94","shared.egf.si","C5orf56"
"shared.egf.si95","shared.egf.si","C6orf132"
"shared.egf.si96","shared.egf.si","C6orf136"
"shared.egf.si97","shared.egf.si","C8G"
"shared.egf.si98","shared.egf.si","CALCOCO1"
"shared.egf.si99","shared.egf.si","CALM3"
"shared.egf.si100","shared.egf.si","CAMK2G"
"shared.egf.si101","shared.egf.si","CAMTA2"
"shared.egf.si102","shared.egf.si","CAPN1"
"shared.egf.si103","shared.egf.si","CAPNS1"
"shared.egf.si104","shared.egf.si","CARD10"
"shared.egf.si105","shared.egf.si","CARD6"
"shared.egf.si106","shared.egf.si","CASP1"
"shared.egf.si107","shared.egf.si","CASP4"
"shared.egf.si108","shared.egf.si","CASP9"
"shared.egf.si109","shared.egf.si","CBLC"
"shared.egf.si110","shared.egf.si","CBR1"
"shared.egf.si111","shared.egf.si","CC2D1A"
"shared.egf.si112","shared.egf.si","CCL25"
"shared.egf.si113","shared.egf.si","CD302,LY75,LY75-CD302"
"shared.egf.si114","shared.egf.si","CD68"
"shared.egf.si115","shared.egf.si","CD74"
"shared.egf.si116","shared.egf.si","CD82"
"shared.egf.si117","shared.egf.si","CDC42BPB"
"shared.egf.si118","shared.egf.si","CDC42EP4"
"shared.egf.si119","shared.egf.si","CDCA3"
"shared.egf.si120","shared.egf.si","CDHR5"
"shared.egf.si121","shared.egf.si","CDIP1"
"shared.egf.si122","shared.egf.si","CDK18"
"shared.egf.si123","shared.egf.si","CDK2"
"shared.egf.si124","shared.egf.si","CDK20"
"shared.egf.si125","shared.egf.si","CDR2L"
"shared.egf.si126","shared.egf.si","CEACAM18"
"shared.egf.si127","shared.egf.si","CELA3A"
"shared.egf.si128","shared.egf.si","CENPV"
"shared.egf.si129","shared.egf.si","CERS2"
"shared.egf.si130","shared.egf.si","CES2"
"shared.egf.si131","shared.egf.si","CFI"
"shared.egf.si132","shared.egf.si","CFL1"
"shared.egf.si133","shared.egf.si","CGREF1"
"shared.egf.si134","shared.egf.si","CHP2"
"shared.egf.si135","shared.egf.si","CHRM4"
"shared.egf.si136","shared.egf.si","CIAO1"
"shared.egf.si137","shared.egf.si","CIB2"
"shared.egf.si138","shared.egf.si","CIDEB"
"shared.egf.si139","shared.egf.si","CIDEC"
"shared.egf.si140","shared.egf.si","CISD1"
"shared.egf.si141","shared.egf.si","CLDN15"
"shared.egf.si142","shared.egf.si","CLDN18"
"shared.egf.si143","shared.egf.si","CLPTM1"
"shared.egf.si144","shared.egf.si","CMBL"
"shared.egf.si145","shared.egf.si","CNNM3"
"shared.egf.si146","shared.egf.si","CNPY2,PAN2"
"shared.egf.si147","shared.egf.si","COASY"
"shared.egf.si148","shared.egf.si","COMMD9"
"shared.egf.si149","shared.egf.si","COMT,MIR4761"
"shared.egf.si150","shared.egf.si","CPA2"
"shared.egf.si151","shared.egf.si","CPPED1"
"shared.egf.si152","shared.egf.si","CRADD"
"shared.egf.si153","shared.egf.si","CRAT"
"shared.egf.si154","shared.egf.si","CREB3L3"
"shared.egf.si155","shared.egf.si","CRELD1"
"shared.egf.si156","shared.egf.si","CS"
"shared.egf.si157","shared.egf.si","CSK"
"shared.egf.si158","shared.egf.si","CTSO"
"shared.egf.si159","shared.egf.si","CXCR3"
"shared.egf.si160","shared.egf.si","CYB5A"
"shared.egf.si161","shared.egf.si","CYP27A1"
"shared.egf.si162","shared.egf.si","CYP2C19"
"shared.egf.si163","shared.egf.si","CYP2S1"
"shared.egf.si164","shared.egf.si","CYP3A4"
"shared.egf.si165","shared.egf.si","CYSLTR2"
"shared.egf.si166","shared.egf.si","DBP"
"shared.egf.si167","shared.egf.si","DCAF11"
"shared.egf.si168","shared.egf.si","DECR1"
"shared.egf.si169","shared.egf.si","DEDD"
"shared.egf.si170","shared.egf.si","DEGS2"
"shared.egf.si171","shared.egf.si","DERA"
"shared.egf.si172","shared.egf.si","DESI1"
"shared.egf.si173","shared.egf.si","DFNA5"
"shared.egf.si174","shared.egf.si","DGAT1,MIR6848"
"shared.egf.si175","shared.egf.si","DGAT2"
"shared.egf.si176","shared.egf.si","DGKA"
"shared.egf.si177","shared.egf.si","DGKG"
"shared.egf.si178","shared.egf.si","DGKQ"
"shared.egf.si179","shared.egf.si","DGKZ"
"shared.egf.si180","shared.egf.si","DHDH"
"shared.egf.si181","shared.egf.si","DHRS11"
"shared.egf.si182","shared.egf.si","DHRS7"
"shared.egf.si183","shared.egf.si","DHX16"
"shared.egf.si184","shared.egf.si","DMBT1"
"shared.egf.si185","shared.egf.si","DNAJC22"
"shared.egf.si186","shared.egf.si","DNASE1"
"shared.egf.si187","shared.egf.si","DNPEP"
"shared.egf.si188","shared.egf.si","DOLPP1"
"shared.egf.si189","shared.egf.si","DPP9"
"shared.egf.si190","shared.egf.si","DSCR3"
"shared.egf.si191","shared.egf.si","DTX1"
"shared.egf.si192","shared.egf.si","E2F4"
"shared.egf.si193","shared.egf.si","EGFR-AS1"
"shared.egf.si194","shared.egf.si","EIF6"
"shared.egf.si195","shared.egf.si","ENPP6"
"shared.egf.si196","shared.egf.si","EPB41L3"
"shared.egf.si197","shared.egf.si","EPHA1"
"shared.egf.si198","shared.egf.si","EPHB1"
"shared.egf.si199","shared.egf.si","EPHX2"
"shared.egf.si200","shared.egf.si","EPS8L2"
"shared.egf.si201","shared.egf.si","EPSTI1"
"shared.egf.si202","shared.egf.si","ERAL1"
"shared.egf.si203","shared.egf.si","ERF"
"shared.egf.si204","shared.egf.si","ESPN"
"shared.egf.si205","shared.egf.si","ESRRA"
"shared.egf.si206","shared.egf.si","ETV3"
"shared.egf.si207","shared.egf.si","ETV7"
"shared.egf.si208","shared.egf.si","EWSR1"
"shared.egf.si209","shared.egf.si","EXOC3L4"
"shared.egf.si210","shared.egf.si","F10"
"shared.egf.si211","shared.egf.si","FABP2"
"shared.egf.si212","shared.egf.si","FAH"
