"","gene_short_name","Noggin-TXP_2","Noggin-TXP_1","Noggin-TXP_0","BMP-TXP_0","BMP-TXP_2","BMP-TXP_1","adult-SI_3","adult-SI_2","adult-SI_0","adult-SI_1","adult-SI_4","adult-colon_2","adult-colon_1","adult-colon_0","EGF-TXP_0","EGF-TXP_1","EGF-TXP_2"
"ZNF192P1","ZNF192P1",12.2463,7.49192,15.5053,5.42514,6.87907,8.73274,8.17205,3.58403,9.72524,16.1187,1.96131,6.67488,9.69439,2.04663,3.89696,11.4932,0
"ZNF195","ZNF195",185.055,172.314,199.631,201.815,179.839,228.798,254.501,201.602,175.054,164.691,177.499,207.663,213.995,189.314,229.142,187.175,188.997
"ZNF197","ZNF197",183.694,159.203,71.7121,157.329,123.823,202.599,215.976,207.874,220.439,192.724,221.628,242.026,225.305,249.689,143.408,151.053,178.497
"ZNF197-AS1","ZNF197-AS1",0,0,0,0,2.94817,0,0,0,0,1.40163,0,0.247218,0,0,0,0,0
"ZNF2","ZNF2",133.348,146.092,93.0319,96.5675,104.169,103.046,64.2089,39.4243,32.4175,37.1431,53.936,46.7241,36.8028,36.3277,116.909,78.8104,118.998
"ZNF200","ZNF200",91.1666,67.4272,40.7014,84.6322,71.7389,61.1291,103.902,96.7688,72.399,76.3886,114.737,74.6597,61.0387,89.5402,76.3805,91.9455,59.499
"ZNF202","ZNF202",151.037,254.725,164.744,149.734,188.683,153.696,113.241,119.169,109.139,84.7984,142.195,90.7289,105.382,108.472,173.025,137.918,150.498
"ZNF204P","ZNF204P",85.7238,104.887,50.3923,71.6119,96.307,73.355,101.567,66.3045,106.978,79.1919,113.756,115.451,66.7836,73.1671,72.4835,55.824,62.999
"ZNF205","ZNF205",472.161,471.991,976.834,470.902,397.021,370.268,59.5392,32.2563,61.5932,63.774,95.1235,65.0182,58.1663,75.2137,438.019,382.559,804.987
"ZNF205-AS1","ZNF205-AS1",8.16417,1.87298,3.87633,8.68023,6.87907,12.2258,4.66974,1.79201,6.48349,1.40163,0,2.22496,1.43621,2.04663,3.11757,4.92565,0
"ZNF208","ZNF208",0,0,0,0,0,0,52.5346,68.9926,59.432,63.774,54.9167,26.6995,35.9051,18.4197,0,0,0
"ZNF20,ZNF625,ZNF625-ZNF20","ZNF20,ZNF625,ZNF625-ZNF20",114.298,121.744,114.352,113.928,117.927,83.8343,49.0323,64.5125,61.5932,65.1756,47.0714,91.2233,67.3221,93.6334,115.35,103.439,80.4987
"ZNF211","ZNF211",107.495,161.076,145.362,123.693,143.478,104.793,138.925,117.377,148.04,125.446,77.4717,79.1096,93.1739,93.1218,118.468,132.993,87.4986
"ZNF212","ZNF212",254.45,250.979,397.324,225.686,218.165,248.01,194.962,184.577,166.41,173.101,215.744,110.259,92.6353,114.611,173.025,208.519,195.997
"ZNF213","ZNF213",244.925,177.933,220.951,200.73,169.029,167.669,171.613,160.385,166.41,141.564,148.079,146.847,125.488,122.798,254.082,188.817,318.495
"ZNF213-AS1","ZNF213-AS1",23.1318,9.36489,42.6396,18.4455,27.5163,13.9724,8.17205,16.1281,21.6116,14.7171,4.90327,10.8776,9.87391,7.16321,36.6315,29.5539,45.4993
"ZNF214","ZNF214",35.3781,37.4596,0,19.5305,31.4472,20.9586,7.00461,17.0241,14.0476,14.0163,19.6131,32.3855,18.6707,27.1179,44.4254,39.4052,27.9995
"ZNF215","ZNF215",35.3781,24.3487,17.4435,22.7856,51.1017,54.143,92.2274,34.9443,72.399,42.7496,60.8006,67.7376,90.1219,61.399,18.7054,13.1351,34.9994
"ZNF217","ZNF217",112.938,99.2679,56.2067,106.333,161.167,157.189,679.447,570.757,743.441,641.244,573.683,906.3,877.881,678.459,99.7623,121.499,55.9991
"ZNF219","ZNF219",1919.94,1625.75,1823.81,1726.28,1340.44,1643.5,194.962,155.905,251.776,183.613,193.189,315.45,471.614,262.481,2623.44,1855.33,4941.92
"ZNF22","ZNF22",261.253,221.012,195.755,296.213,275.163,300.406,373.579,327.939,367.398,311.161,350.094,384.423,290.293,369.929,138.732,185.533,111.998
"ZNF221","ZNF221",6.80347,14.9838,1.93816,7.5952,4.91362,3.49309,8.17205,10.7521,19.4505,14.0163,5.88393,18.7885,16.5164,19.9547,12.4703,8.20942,10.4998
"ZNF222","ZNF222",46.2636,35.5866,29.0725,36.891,31.4472,38.424,24.5161,23.2962,23.7728,21.7252,22.5551,30.655,28.5446,32.7461,31.9551,47.6146,38.4994
"ZNF223","ZNF223",62.592,121.744,71.7121,79.2071,73.7043,40.1706,112.074,102.145,79.9631,80.5935,56.878,88.9983,45.5995,69.0738,74.8217,77.1685,52.4991
"ZNF224","ZNF224",6.80347,5.61894,0,8.68023,7.86179,13.9724,36.1905,49.2804,46.465,39.2455,48.0521,31.3966,25.1336,28.6529,5.45575,8.20942,0
"ZNF225","ZNF225",76.1989,16.8568,21.3198,15.1904,38.3262,24.4517,56.0369,51.0724,33.498,51.1593,61.7813,50.1852,42.3681,52.1891,22.6024,18.0607,27.9995
"ZNF226","ZNF226",197.301,245.36,255.838,189.88,174.925,235.784,145.929,185.473,167.49,154.88,164.75,131.52,130.156,139.683,213.554,213.445,227.496
"ZNF227","ZNF227",138.791,93.6489,127.919,129.118,139.547,124.005,126.083,102.145,123.186,87.6016,137.292,140.42,104.304,121.775,141.85,187.175,104.998
"ZNF229","ZNF229",0,1.87298,0,4.34011,5.89634,0,18.679,22.4002,45.3845,28.7333,34.3229,24.4745,25.4927,25.5829,3.11757,8.20942,6.99989
"ZNF23","ZNF23",73.4775,63.6813,71.7121,54.2514,67.808,62.8757,138.925,133.505,137.234,121.241,96.1042,99.6287,110.947,96.7034,62.3514,55.824,52.4991
"ZNF230","ZNF230",32.6567,41.2055,62.0212,41.2311,40.2917,19.212,40.8602,61.8245,49.7068,32.2374,48.0521,63.2877,44.1633,53.2124,48.3224,60.7497,31.4995
"ZNF232","ZNF232",171.448,191.044,222.889,196.39,192.614,241.024,58.3718,79.7446,54.0291,48.3561,52.9554,63.5349,51.3444,111.03,194.069,205.235,178.497
"ZNF233","ZNF233",23.1318,31.8406,29.0725,24.9557,30.4644,20.9586,4.66974,11.6481,23.7728,16.1187,21.5744,26.4523,13.4644,20.4663,21.823,4.92565,10.4998
"ZNF234","ZNF234",62.592,74.9192,40.7014,58.5915,56.0153,71.6084,128.418,118.273,110.219,127.548,107.872,121.137,81.5047,109.495,49.8811,49.2565,48.9992
"ZNF235","ZNF235",46.2636,26.2217,0,35.8059,41.2744,29.6913,57.2043,54.6564,49.7068,55.3642,55.8973,53.6462,31.9556,53.2124,63.9102,47.6146,52.4991
"ZNF236","ZNF236",17.689,28.0947,0,34.7209,41.2744,61.1291,166.943,116.481,154.523,167.494,143.176,176.513,133.747,157.591,49.1018,44.3309,45.4993
"ZNF239","ZNF239",31.296,20.6028,62.0212,62.9316,56.998,59.3826,12.8418,22.4002,21.6116,10.5122,33.3423,28.9245,38.598,20.978,71.7041,47.6146,48.9992
"ZNF24","ZNF24",502.096,623.702,430.272,392.78,489.397,515.231,1328.54,1088.65,1282.65,1129.71,1041.46,1265.01,991.88,1422.92,141.85,236.431,115.498
"ZNF248","ZNF248",146.955,144.219,139.548,144.309,131.685,172.908,168.111,171.137,240.97,185.015,158.866,178.986,157.983,242.014,44.4254,36.1214,52.4991
"ZNF25","ZNF25",74.8382,59.9353,42.6396,75.952,56.998,54.143,72.381,133.505,103.736,157.683,109.833,157.23,180.962,170.382,24.9406,59.1078,31.4995
"ZNF250","ZNF250",127.905,123.617,133.733,106.333,103.186,76.8481,87.5576,97.6648,82.1243,79.8927,101.007,101.359,46.8562,85.9586,142.629,144.486,192.497
"ZNF251","ZNF251",253.089,221.012,129.857,262.577,211.286,176.401,213.641,163.969,232.325,183.613,160.827,129.789,121.359,102.332,213.554,129.709,220.496
"ZNF252P","ZNF252P",153.759,112.379,147.3,134.544,208.338,214.825,359.57,321.667,450.603,353.911,459.927,511.493,327.275,411.373,94.3065,114.932,83.9986
"ZNF252P-AS1","ZNF252P-AS1",6.80347,14.9838,7.75265,3.25508,8.84452,10.4793,21.0138,12.5441,18.3699,7.00813,14.7098,14.0914,5.5653,8.69819,6.23514,0,6.99989
